round,cooperate-score,defect-score,tit-for-tat-score,unforgiving-score, random-score, qlearning-score
1,null,null,null,null,2.377909530083443,2.2656191545080433
2,null,null,null,null,2.3292709705753185,2.2564534231200897
3,null,null,null,null,2.315107597716293,2.2594463150018704
4,null,null,null,null,2.3187307861220905,2.2589786756453423
5,null,null,null,null,2.3114185331576635,2.253011597456042
6,null,null,null,null,2.306433904259991,2.2520576131687244
7,null,null,null,null,2.2917999874521615,2.2519908075463633
8,null,null,null,null,2.2839262187088276,2.2523381967826412
9,null,null,null,null,2.286854047723613,2.2509664546701584
10,null,null,null,null,2.287659200702679,2.248653198653199
11,null,null,null,null,2.2806922984788596,2.249566370778492
12,null,null,null,null,2.2792050944224855,2.249735004364634
13,null,null,null,null,2.276088645653863,2.250769806325362
14,null,null,null,null,2.278922768053203,2.250801667468334
15,null,null,null,null,2.2753623188405796,2.2525876044394564
16,null,null,null,null,2.271560715854194,2.252677235316124
17,null,null,null,null,2.2712418300653594,2.2546598886468168
18,null,null,null,null,2.267518176938467,2.254239930165856
19,null,null,null,null,2.265007049904075,2.2533916159647154
20,null,null,null,null,2.265810276679842,2.254882154882155
21,null,null,null,null,2.264728025597591,2.254511606363458
22,null,null,null,null,2.2628258873318163,2.2529333741454955
23,null,null,null,null,2.2611750778102384,2.252915629727224
24,null,null,null,null,2.2608238178890354,2.2524784885896
25,null,null,null,null,2.263179622310057,2.252263374485597
26,null,null,null,null,2.26385932907672,2.252489280267058
27,null,null,null,null,2.2649522601213423,2.252074933144892
28,null,null,null,null,2.264869188782232,2.252618780396558
29,null,null,null,null,2.260937712961701,2.2518995833172077
30,null,null,null,null,2.2600278143756403,2.2510662177328844
31,null,null,null,null,2.2628033490586086,2.251608075980836
32,null,null,null,null,2.2608421168203776,2.2524551066217735
33,null,null,null,null,2.261342010353868,2.252383543629335
34,null,null,null,null,2.262729597767961,2.2532129574613236
35,null,null,null,null,2.2637555681033943,2.253465875688098
36,null,null,null,null,2.2632179280730007,2.2542035582159037
37,null,null,null,null,2.2641099597621337,2.2549215882549216
38,null,null,null,null,2.2646834477498095,2.2554098489771004
39,null,null,null,null,2.2644730470817427,2.2553166997611442
40,null,null,null,null,2.2642072902942467,2.2548587729143286
41,null,null,null,null,2.2645061430851463,2.2543958099513657
42,null,null,null,null,2.2647071125331997,2.255072773591292
43,null,null,null,null,2.2632543840835044,2.2552745369282836
44,null,null,null,null,2.2620972571565456,2.2553353399312996
45,null,null,null,null,2.2616015224710875,2.255268736750218
46,null,null,null,null,2.262277787325046,2.2545909985523513
47,null,null,null,null,2.2630233883702893,2.2545589862374733
48,null,null,null,null,2.2633078978187675,2.2549998441202144
49,null,null,null,null,2.26324469181612,2.255186025027295
50,null,null,null,null,2.2639218269653054,2.2549756827534604
51,null,null,null,null,2.2645293514858733,2.254905628543973
52,null,null,null,null,2.2647841289145636,2.254424587757921
53,null,null,null,null,2.263956215145715,2.2540146397588745